Mon Jun 10 14:48:54 2024    stats_profiling.raw

         80727910 function calls (80352947 primitive calls) in 260.053 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2158    0.116    0.000    0.817    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/ticker.py:2074(_raw_ticks)
   451381    0.115    0.000    0.115    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/artist.py:851(get_animated)
    89440    0.114    0.000    0.114    0.000 {built-in method numpy.empty}
     3270    0.108    0.000   27.843    0.009 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_numdiff.py:275(approx_derivative)
12632/3158    0.106    0.000    1.004    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/copy.py:227(_deepcopy_dict)
     2002    0.106    0.000    0.388    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/least_squares.py:130(check_x_scale)
    10409    0.105    0.000    0.114    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/numeric.py:203(ones_like)
   111572    0.104    0.000    0.104    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:110(__init__)
        2    0.103    0.051  177.852   88.926 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/update.py:227(simulate_MG)
     3270    0.101    0.000    0.109    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_numdiff.py:144(_compute_absolute_step)
    88304    0.100    0.000    0.100    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:426(__init__)
    13339    0.099    0.000    0.199    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:40(_wrapit)
     3106    0.097    0.000    0.453    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/lines.py:654(recache)
        9    0.092    0.010    0.099    0.011 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/backends/backend_macosx.py:107(__init__)
    28054    0.091    0.000    0.091    0.000 {method 'dot' of 'numpy.ndarray' objects}
     1633    0.090    0.000    3.638    0.002 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/axis.py:58(__init__)
    28793    0.088    0.000    0.254    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:1881(__init__)
    11832    0.087    0.000    1.343    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/markers.py:327(_set_marker)
       25    0.086    0.003    0.086    0.003 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/art3d.py:984(<listcomp>)
