Tue Jun 11 10:06:30 2024    stats_profiling.raw

         81370879 function calls (80985164 primitive calls) in 183.891 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    38456    0.121    0.000    0.491    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/copy.py:259(_reconstruct)
   362116    0.120    0.000    0.120    0.000 {built-in method numpy.geterrobj}
     2907    0.116    0.000    4.136    0.001 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/rk.py:111(_step_impl)
    67931    0.116    0.000    0.313    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/path.py:202(_update_values)
   686543    0.113    0.000    0.113    0.000 {method 'get' of 'dict' objects}
    25887    0.111    0.000    0.233    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:754(__init__)
    73899    0.110    0.000    0.110    0.000 {method 'copy' of 'numpy.ndarray' objects}
     3358    0.110    0.000   26.447    0.008 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_numdiff.py:275(approx_derivative)
    25460    0.107    0.000    0.125    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:194(set_children)
    10589    0.105    0.000    0.115    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/numeric.py:203(ones_like)
    11161    0.104    0.000    0.129    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/numeric.py:67(zeros_like)
    30563    0.103    0.000    0.103    0.000 {method 'dot' of 'numpy.ndarray' objects}
    92456    0.102    0.000    0.102    0.000 {built-in method numpy.empty}
   449420    0.101    0.000    0.101    0.000 {function RcParams.__getitem__ at 0x7fe554ec3be0}
   139783    0.101    0.000    0.175    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1327(_to_unmasked_float_array)
   103337    0.099    0.000    0.279    0.000 {built-in method builtins.any}
