Tue Jun 11 10:11:33 2024    stats_profiling.raw

         81264732 function calls (80879145 primitive calls) in 221.513 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10573    0.103    0.000    0.112    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/numeric.py:203(ones_like)
    29226    0.103    0.000    0.103    0.000 {method 'dot' of 'numpy.ndarray' objects}
    90237    0.099    0.000    0.099    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:426(__init__)
   139785    0.098    0.000    0.172    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1327(_to_unmasked_float_array)
    91351    0.097    0.000    0.097    0.000 {built-in method numpy.empty}
   103331    0.095    0.000    0.273    0.000 {built-in method builtins.any}
   460747    0.093    0.000    0.093    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/artist.py:851(get_animated)
        2    0.091    0.046  151.054   75.527 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/update.py:227(simulate_MG)
     2158    0.091    0.000    0.638    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/ticker.py:2074(_raw_ticks)
     2002    0.090    0.000    5.573    0.003 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/ivp.py:156(solve_ivp)
        3    0.089    0.030    0.090    0.030 {built-in method _imp.create_dynamic}
    34364    0.086    0.000    0.525    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:53(_wrapfunc)
13064/3266    0.083    0.000    0.754    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/copy.py:227(_deepcopy_dict)
    25520    0.083    0.000    0.083    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1765(<dictcomp>)
    11086    0.083    0.000    0.109    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/numeric.py:67(zeros_like)
       50    0.082    0.002    1.534    0.031 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/collections.py:1175(set_verts)
   113296    0.082    0.000    0.082    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:110(__init__)
       12    0.081    0.007    0.083    0.007 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:78(__init__)
    39065    0.080    0.000    0.092    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/contextlib.py:102(__init__)
     2002    0.078    0.000    0.308    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/least_squares.py:130(check_x_scale)
      466    0.075    0.000    0.104    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/index_tricks.py:147(__getitem__)
        9    0.075    0.008    0.075    0.008 {method 'copy' of 'ImagingCore' objects}
        9    0.075    0.008    0.081    0.009 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/backends/backend_macosx.py:107(__init__)
